,Timestamp,Open,High,Low,Close,Volume
0,1538485200000,6580.0,6599.99999999,6556.6,6599.99999999,62.75660074
1,1538488800000,6599.99999994,6599.99999994,6535.00000001,6572.0,35.63605548
2,1538492400000,6550.0,6573.0,6530.0,6559.854,15.74343944
3,1538496000000,6572.99999999,6579.92942996,6525.0,6532.50000003,15.94333806
4,1538499600000,6533.50000003,6568.43223175,6473.23557431,6525.10000016,56.52705393
5,1538503200000,6549.0,6582.99999999,6519.32654122,6563.997,22.98136743
6,1538506800000,6554.1510045,6583.0,6549.00000003,6577.0,8.21260389
7,1538510400000,6577.0,6588.59967,6548.99999999,6581.59999999,17.01601574
8,1538514000000,6581.59999999,6588.99999989,6551.0,6588.99999989,19.95150147
9,1538517600000,6587.99999999,6587.99999999,6553.00000001,6560.0000002,8.76315497
10,1538521200000,6587.99999998,6587.99999998,6520.0,6540.34,13.43902379
11,1538524800000,6548.99999999,6565.99999863,6508.0,6546.25,13.91592312
12,1538528400000,6535.0,6558.00009995,6515.00000001,6515.00000001,20.48919528
13,1538532000000,6515.00000017,6547.70704497,6441.40465748,6488.00100007,71.24156026
14,1538535600000,6488.002,6515.51719385,6440.0,6453.0,35.37349908
15,1538539200000,6460.0,6489.09999999,6440.64400027,6457.70863502,19.21939449
16,1538542800000,6470.36,6497.0,6460.00000016,6460.00000016,12.10945344
17,1538546400000,6480.98,6496.99999999,6450.0,6496.99999979,21.0224713
18,1538550000000,6496.99999977,6496.99999977,6455.0,6455.0,18.45318067
19,1538553600000,6455.0,6480.0,6441.50000001,6463.14,37.5236905
20,1538557200000,6470.0,6487.99999985,6450.00000001,6459.41,17.70245085
21,1538560800000,6479.98999997,6517.67999999,6459.41,6511.68668179,62.05398702
22,1538564400000,6511.68668141,6521.99999927,6468.00000062,6509.28,13.39792009
23,1538568000000,6490.0,6509.28,6470.0,6486.0,20.73452491
24,1538571600000,6470.0,6510.10000002,6456.00000001,6507.36003275,12.43405671
25,1538575200000,6507.35749071,6543.93457199,6478.0,6540.0,23.25398424
26,1538578800000,6539.9,6543.92999997,6493.35782829,6529.89999917,14.06708943
27,1538582400000,6529.89999784,6530.0,6502.0,6525.0,8.13792478
28,1538586000000,6525.0,6530.0,6505.0,6520.0,15.4763544
29,1538589600000,6528.99999961,6528.99999961,6474.00000001,6485.0,11.0957216
30,1538593200000,6505.0,6518.99999928,6460.0,6480.0,13.38750007
31,1538596800000,6480.0,6499.98999604,6463.0,6480.00000005,7.31907507
32,1538600400000,6499.98999604,6510.76331884,6461.0,6461.0,9.10576391
33,1538604000000,6482.3749485,6498.89458532,6460.0,6498.89458532,10.84416511
34,1538607600000,6490.0,6537.19999986,6472.00000002,6515.0,10.41814102
35,1538611200000,6530.04999972,6545.0,6495.00000034,6545.0,8.61462638
36,1538614800000,6545.0,6648.99999998,6545.0,6609.97,48.6218169
37,1538618400000,6609.97,6616.83869557,6582.00000013,6609.99999999,11.15543605
38,1538622000000,6610.0,6612.99999972,6576.27622016,6612.99999972,10.43401656
39,1538625600000,6609.3,6633.15180118,6580.00000042,6584.90000038,19.5019833
40,1538629200000,6619.89999984,6629.99999995,6584.90000008,6590.0,5.26148747
41,1538632800000,6584.90000008,6610.90000003,6580.00000041,6582.0,8.49467418
42,1538636400000,6582.0,6610.90000006,6557.82297679,6575.0,7.57544945
43,1538640000000,6588.0,6623.45992121,6565.00000001,6586.08000049,31.6859694
44,1538643600000,6586.08000049,6623.45992122,6576.0,6607.38599999,27.07797061
45,1538647200000,6604.38599999,6613.87583161,6550.19652404,6590.435,14.84005821
46,1538650800000,6594.15399996,6602.39857145,6565.332,6565.332,7.28147278
47,1538654400000,6565.332,6589.93374988,6556.82685,6570.0,8.57586739
48,1538658000000,6570.0,6599.99999999,6560.00000012,6590.0,13.55912992
49,1538661600000,6590.0,6600.0,6567.0,6567.0,7.48826197
50,1538665200000,6598.09999999,6599.9,6567.00000001,6599.0,12.45336762
51,1538668800000,6599.0,6615.0,6578.20000043,6605.0,12.69259948
52,1538672400000,6604.0,6607.38999981,6572.11836546,6600.39,3.46178815
53,1538676000000,6607.0,6624.0,6606.39,6624.0,7.52558826
54,1538679600000,6624.0,6628.99999999,6607.21,6610.0,11.61311903
