;Timestamp;Open;High;Low;Close;Volume
0;1,54184E+12;6439.44;6440.11;6431.11;6431.14;2.908.615
1;1,54185E+12;6431.84;6450.63;6431.15;6450.08;24.269.966
2;1,54185E+12;6450.08;6460.0;6443.52;6455.49;543.960.384
3;1,54185E+12;6456.59;6467.22;6452.03;6457.65;461.799.266
4;1,54186E+12;6457.65;6460.0;6448.22;6458.15;348.917.955
5;1,54186E+12;6458.15;6463.96;6451.0;6452.22;396.011.951
6;1,54187E+12;6452.22;6465.0;6452.21;6464.01;396.416.584
7;1,54187E+12;6464.02;6475.55;6453.98;6458.9;527.824.819
8;1,54187E+12;6456.05;6459.68;6445.45;6447.78;260.923.877
9;1,54188E+12;6450.04;6453.65;6443.52;6447.4;177.150.411
10;1,54188E+12;6447.44;6460.0;6446.01;6457.76;264.080.184
11;1,54188E+12;6458.09;6465.0;6454.0;6454.09;262.519.701
12;1,54189E+12;6454.01;6456.79;6443.3;6449.24;185.376.855
13;1,54189E+12;6449.24;6451.54;6431.11;6433.05;309.029.922
14;1,54189E+12;6435.16;6442.76;6431.11;6442.54;235.587.612
15;1,5419E+12;6442.54;6449.29;6438.81;6443.53;230.665.453
16;1,5419E+12;6443.44;6444.96;6431.11;6438.24;193.309.108
17;1,54191E+12;6438.24;6438.24;6422.1;6428.72;306.139.341
18;1,54191E+12;6427.01;6440.97;6425.27;6439.54;250.800.087
19;1,54191E+12;6435.97;6441.48;6427.02;6428.64;241.421.018
20;1,54192E+12;6428.64;6450.0;6426.21;6442.22;260.447.786
21;1,54192E+12;6441.0;6449.83;6435.52;6443.67;294.954.356
22;1,54192E+12;6443.69;6448.63;6436.09;6440.67;221.173.374
23;1,54193E+12;6440.67;6441.17;6429.01;6431.97;22.301.521
24;1,54193E+12;6431.97;6432.57;6412.77;6422.66;440.823.491
25;1,54193E+12;6422.65;6432.04;6403.35;6410.01;433.405.253
26;1,54194E+12;6413.16;6428.18;6407.36;6422.04;292.753.648
27;1,54194E+12;6420.59;6428.21;6402.0;6408.08;291.301.713
28;1,54194E+12;6410.06;6420.0;6406.42;6418.85;305.327.736
29;1,54195E+12;6418.68;6419.93;6355.0;6380.89;1.068.297.405
30;1,54195E+12;6380.01;6397.44;6363.34;6388.42;497.384.202
31;1,54196E+12;6387.0;6408.94;6381.41;6398.02;457.597.779
32;1,54196E+12;6400.85;6412.91;6395.95;6412.36;253.281.581
33;1,54196E+12;6410.24;6435.42;6408.51;6421.38;4.877.626
34;1,54197E+12;6421.38;6430.0;6418.42;6426.63;222.174.817
35;1,54197E+12;6426.63;6426.63;6411.04;6412.33;166.908.007
36;1,54197E+12;6412.33;6419.46;6404.0;6410.0;234.690.038
37;1,54198E+12;6410.0;6462.14;6404.0;6449.81;604.285.502
38;1,54198E+12;6450.71;6497.0;6449.81;6458.45;770.547.495
39;1,54198E+12;6458.87;6463.04;6443.0;6450.86;287.660.412
40;1,54199E+12;6454.35;6475.0;6450.01;6471.43;288.412.656
41;1,54199E+12;6473.86;6478.44;6452.26;6455.25;363.771.683
42;1,542E+12;6455.46;6464.0;6452.26;6454.34;213.922.371
43;1,542E+12;6454.56;6462.0;6449.57;6461.51;227.002.827
44;1,542E+12;6460.02;6463.99;6438.0;6450.0;419.035.486
45;1,54201E+12;6449.81;6455.14;6442.24;6447.29;544.166.947
46;1,54201E+12;6447.29;6455.14;6432.7;6450.62;577.489.022
47;1,54201E+12;6450.57;6450.62;6440.67;6442.81;373.409.691
48;1,54202E+12;6440.76;6447.39;6433.0;6439.26;326.432.292
49;1,54202E+12;6439.01;6452.2;6433.97;6439.28;425.028.431
50;1,54202E+12;6439.28;6451.97;6439.14;6447.17;43.912.841
51;1,54203E+12;6446.32;6468.49;6445.08;6468.49;831.497.955
52;1,54203E+12;6468.2;6483.93;6456.41;6456.67;826.970.252
53;1,54203E+12;6457.24;6467.07;6442.68;6452.12;569.099.133
54;1,54204E+12;6452.12;6454.9;6445.0;6447.38;356.953.272
55;1,54204E+12;6445.67;6452.5;6438.79;6447.45;36.180.158
56;1,54205E+12;6448.05;6450.44;6438.83;6439.03;265.062.459
57;1,54205E+12;6440.5;6464.01;6436.0;6458.64;352.141.931
58;1,54205E+12;6458.64;6461.47;6451.47;6455.48;194.948.824
59;1,54206E+12;6456.0;6458.97;6425.06;6437.55;36.168.451
60;1,54206E+12;6437.55;6452.71;6421.0;6451.16;479.453.612
61;1,54206E+12;6451.16;6458.91;6440.99;6453.07;277.161.316
62;1,54207E+12;6451.68;6455.99;6430.0;6443.32;364.765.685
63;1,54207E+12;6443.52;6445.5;6407.0;6422.07;550.132.868
64;1,54207E+12;6421.01;6442.75;6391.15;6440.0;656.825.685
65;1,54208E+12;6440.04;6472.0;6436.5;6443.01;491.255.866
66;1,54208E+12;6446.07;6467.06;6442.16;6458.38;49.543.577
67;1,54209E+12;6460.27;6468.0;6450.0;6463.64;341.983.118
68;1,54209E+12;6463.43;6473.63;6456.06;6458.48;323.662.907
69;1,54209E+12;6456.2;6463.47;6437.59;6460.48;435.837.112
70;1,5421E+12;6462.03;6464.0;6426.53;6444.01;461.197.263
71;1,5421E+12;6441.96;6450.0;6431.43;6441.39;326.513.614
72;1,5421E+12;6441.19;6448.41;6439.01;6446.98;333.684.637
73;1,54211E+12;6446.98;6469.0;6441.82;6443.24;616.060.478
74;1,54211E+12;6446.35;6461.93;6445.42;6453.58;470.528.512
75;1,54211E+12;6453.58;6472.0;6441.81;6451.1;512.421.932
76;1,54212E+12;6451.1;6453.38;6438.98;6448.93;536.537.498
77;1,54212E+12;6448.99;6472.07;6441.01;6459.5;504.823.927
78;1,54212E+12;6460.97;6495.0;6455.86;6490.0;661.160.701
79;1,54213E+12;6490.0;6496.0;6475.8;6485.99;697.861.719
80;1,54213E+12;6485.99;6498.0;6445.09;6457.34;770.695.729
81;1,54214E+12;6457.34;6475.0;6443.65;6461.3;67.588.785
82;1,54214E+12;6461.3;6492.0;6459.54;6489.1;473.103.385
83;1,54214E+12;6489.1;6489.1;6470.0;6479.0;402.425.167
84;1,54215E+12;6479.0;6484.14;6466.71;6477.34;315.548.529
85;1,54215E+12;6476.63;6480.1;6457.66;6457.66;372.214.981
86;1,54215E+12;6458.98;6474.92;6451.0;6466.71;32.675.859
87;1,54216E+12;6466.57;6473.32;6452.72;6472.0;423.325.962
88;1,54219E+12;6469.0;6482.84;6410.0;6432.1;989.436.938
89;1,54219E+12;6431.9;6440.0;6346.05;6362.8;2.023.494.915
90;1,54219E+12;6362.6;6386.16;6340.0;6381.88;990.188.514
91;1,5422E+12;6381.88;6398.0;6360.0;6366.28;756.087.694
92;1,5422E+12;6364.47;6371.33;6350.66;6363.4;703.998.506
93;1,5422E+12;6363.4;6364.16;6292.93;6309.15;1.740.212.424
94;1,54221E+12;6308.76;6318.99;6203.36;6232.83;3.238.615.186
95;1,54221E+12;6231.36;6274.33;5829.67;5965.11;11.082.881.689
96;1,54221E+12;5965.57;6020.0;5844.0;5979.67;6.254.928.765
97;1,54222E+12;5975.62;5998.0;5861.0;5880.0;3.150.470.534
98;1,54222E+12;5876.84;5915.0;5700.0;5863.94;4.929.007.508
99;1,54223E+12;5861.21;5868.29;5656.87;5767.89;3.251.688.314
100;1,54223E+12;5769.43;5906.0;5725.52;5836.82;3.307.294.004
101;1,54223E+12;5841.99;5855.0;5765.0;5796.64;1.297.104.612
102;1,54224E+12;5794.29;5925.0;5788.87;5922.41;2.013.469.848
103;1,54224E+12;5917.2;5939.54;5863.69;5887.09;1.977.235.414
104;1,54224E+12;5882.07;5892.85;5826.1;5839.56;1.333.845.286
105;1,54225E+12;5837.87;5839.35;5667.52;5739.15;2.307.443.522
106;1,54225E+12;5738.71;5791.5;5710.28;5746.57;1.270.454.423
107;1,54225E+12;5745.39;5751.77;5628.27;5707.19;2.647.739.003
108;1,54226E+12;5705.67;5747.19;5678.9;5739.72;1.531.843.404
109;1,54226E+12;5739.73;5747.0;5666.51;5719.42;1.066.938.788
110;1,54227E+12;5719.42;5790.0;5715.79;5760.94;1.004.327.068
111;1,54227E+12;5763.48;5787.35;5713.0;5723.0;868.864.739
112;1,54227E+12;5723.0;5770.0;5713.18;5761.79;696.808
113;1,54228E+12;5761.79;5771.95;5540.0;5590.0;4.223.017.921
114;1,54228E+12;5590.0;5635.1;5550.0;5590.2;172.167.142
115;1,54228E+12;5590.08;5648.4;5568.99;5588.19;1.341.612.687
116;1,54229E+12;5587.45;5610.74;5555.01;5596.3;1.523.342.944
117;1,54229E+12;5594.98;5597.46;5403.42;5403.52;4.579.426.855
118;1,54229E+12;5403.52;5730.0;5403.43;5675.12;6.723.770.308
119;1,5423E+12;5675.13;5745.71;5561.0;5672.3;3.472.508.222
120;1,5423E+12;5678.3;5763.45;5630.0;5668.27;2.813.167.504
121;1,5423E+12;5671.85;5696.69;5626.72;5673.89;1.165.626.655
122;1,54231E+12;5673.95;5712.97;5639.58;5690.39;109.852.692
123;1,54231E+12;5690.39;5708.84;5630.54;5639.01;1.031.048.904
124;1,54232E+12;5638.8;5645.0;5581.4;5645.0;1.089.262.259
125;1,54232E+12;5646.38;5688.28;5625.37;5665.94;694.476.727
126;1,54232E+12;5666.78;5766.52;5658.8;5753.4;1.517.870.428
127;1,54233E+12;5757.09;5782.89;5692.53;5706.23;1.382.545.631
